;Libellé;Budget 2012 avec budget supplémentaire SAIP mai 2012;Réalisé 2012;Budget 2013;Réalisé 2013;Budget 2014;Réalisé 2014;Budget 2015;Réalisé 2015;Budget 2016;Réalisé 2016;Budget 2017;Réalisé 2017
234;ÉTUDES ET INGÉNIERIE EN COURS;350 000;198 497;1 190 000;81 755;460 000;300 788;602 000;455 692;648 000;1 089 113;836 000;979 764
2341;Études et ingénierie en cours;350 000;198 497;1 190 000;81 755;460 000;300 788;602 000;455 692;648 000;1 050 353;836 000;890 958
2342;Études et ingénierie sur installations téléphoniques en cours ;0;0;0;0;0;0;0;0;0;38 760;0;88 806
29;DÉPENSES IMPRÉVUES;2 000 000;0;1 200 000;0;3 544 393;0;3 544 393;0;3 544 393;0;1 500 000;0
299;DÉPENSES IMPRÉVUES;2 000 000;0;1 200 000;0;3 544 393;0;3 544 393;0;3 544 393;0;1 500 000;0
2992;Dépenses imprévues;2 000 000;0;1 200 000;0;3 544 393;0;3 544 393;0;3 544 393;0;1 500 000;0
;TOTAL SECTION D'INVESTISSEMENT;24 713 564;21 592 079;16 193 100;12 308 004;19 932 193;14 094 421;18 525 193;17 194 280;19 289 293;18 039 046;35 114 300;32 179 261
60;ACHATS DE BIENS ET FOURNITURES;8 444 500;7 772 530;7 913 500;7 339 892;8 029 000;6 722 635;7 648 000;7 000 340;7 669 300;7 144 255;7 738 300;7 485 004
601;ACHATS DE FOURNITURES D'ATELIERS;650 000;546 325;680 000;565 146;688 000;536 440;645 000;540 169;590 000;565 055;510 000;640 086
6011;Fournitures d'ateliers du service des Affaires immobilières et du patrimoine;314 000;334 544;280 000;274 492;320 000;300 280;300 000;283 597;305 000;340 592;290 000;462 813
6012;Fournitures d'impression et de reliure;270 000;153 695;330 000;222 275;310 000;175 467;280 000;175 554;220 000;152 346;160 000;131 031
6013;Fournitures audiovisuelles;66 000;58 086;70 000;68 379;58 000;60 693;65 000;81 019;65 000;72 117;60 000;46 242
602;ACHATS DE PETITS ÉQUIPEMENTS;370 000;245 318;320 000;240 965;286 000;256 924;278 000;285 527;307 000;408 979;532 000;424 852
6021;Petits équipements du service des Affaires immobilières et du patrimoine;170 000;157 877;160 000;141 094;158 000;173 091;150 000;175 164;165 000;210 383;165 000;289 360
6022;Petit équipement automobile;70 000;43 618;60 000;48 050;58 000;39 503;58 000;44 582;52 000;45 494;47 000;44 590
6023;Petit équipement du service de la Logistique parlementaire;70 000;20 934;50 000;41 554;40 000;29 036;40 000;38 855;40 000;85 043;40 000;28 467
6024;Petit équipement informatique;;;;;;;;;30 000;36 799;30 000;52 938
6025;Petit équipement téléphonique;60 000;22 889;50 000;10 267;30 000;15 294;30 000;26 925;20 000;31 262;250 000;9 498
604;ACHATS DE FOURNITURES;2 992 000;2 672 923;2 681 000;2 152 713;2 677 000;2 036 924;2 516 000;1 980 317;2 205 000;1 958 395;2 174 000;2 297 196
6041;Achat de fournitures de bureau;2 177 000;2 049 142;1 971 000;1 514 299;1 980 000;1 379 288;1 830 000;1 354 704;1 520 000;1 320 831;1 470 000;1 752 579
6042;Achats d'autres fournitures;750 000;587 110;670 000;613 382;650 000;633 996;655 000;604 131;655 000;615 402;655 000;524 851
6043;Fournitures du laboratoire photo-vidéo;45 000;19 416;20 000;4 302;20 000;4 863;8 000;3 588;7 000;2 181;22 000;2 985
6044;Fournitures médicales, soins et prévention;20 000;17 255;20 000;20 731;27 000;18 777;23 000;17 894;23 000;19 982;27 000;16 780
605;ACHATS DE FLUIDES;4 380 000;4 282 059;4 180 000;4 327 902;4 326 000;3 853 169;4 157 000;3 900 981;4 305 000;4 001 295;4 350 000;3 927 650
6051;Consommation de fluides pour les bâtiments;4 200 000;4 136 228;3 980 000;4 191 983;4 136 000;3 743 682;3 997 000;3 804 568;4 175 000;3 911 155;4 240 000;3 843 167
6052;Carburant pour les véhicules;180 000;145 831;200 000;135 918;190 000;109 487;160 000;96 413;130 000;90 140;110 000;84 482
607;ACHATS DE MARCHANDISES;52 500;25 906;52 500;53 166;52 000;39 178;52 000;293 345;262 300;210 530;172 300;195 220
6071;Achats de marchandises du service de la Logistique parlementaire;52 500;25 906;52 500;53 166;52 000;39 178;52 000;293 345;262 300;210 530;172 300;195 220
61;SERVICES EXTERIEURS;24 332 900;23 256 993;24 867 500;23 444 366;22 689 000;21 268 949;23 588 500;22 632 579;23 009 300;23 010 415;22 925 000;23 418 487
611;BASES DE L'AN ET BASES EXTERIEURES;570 000;659 726;720 000;424 126;580 000;461 401;520 000;444 814;588 500;464 809;573 500;429 089
6113;Abonnements aux bases de données extérieures;280 000;296 717;280 000;282 533;280 000;280 750;290 000;256 259;300 000;255 118;300 000;253 237
6114;Frais d'hébergement du site internet;290 000;363 008;440 000;141 593;300 000;180 651;230 000;188 555;288 500;209 691;273 500;175 852
613;LOCATIONS;5 147 100;4 799 922;5 264 000;5 148 194;4 450 000;3 965 215;4 682 500;4 297 481;4 393 000;4 356 731;4 114 500;4 289 354
6132;Locations et charges immobilières;3 390 000;3 402 516;3 545 000;3 550 320;3 209 000;2 695 513;3 279 000;2 970 772;3 000 000;2 984 564;3 020 000;3 026 238
6133;Redevances et locations informatiques;367 600;332 845;435 000;350 465;435 000;352 838;450 000;360 741;385 000;388 547;230 000;291 571
6134;Location de réseaux privés de transmissions;20 000;1 401;10 000;1 350;8 000;1 456;4 000;4 434;4 000;1 410;2 000;1 410
6135;Location de matériels de communication;390 000;384 054;392 000;340 837;80 000;75 701;80 000;122 167;105 000;101 971;105 000;101 396
6136;Location de photocopieurs;66 000;65 866;66 000;52 115;38 000;35 934;38 000;36 539;38 000;44 781;38 000;53 356
6137;Location de matériels de transport;63 500;26 261;76 000;38 319;70 000;33 029;60 500;45 283;38 000;30 382;28 500;46 877
6138;Location de matériels divers;500 000;236 209;400 000;468 536;236 000;411 453;400 000;418 882;420 000;430 324;350 000;400 282
6139;Autres locations;350 000;350 771;340 000;346 252;374 000;359 290;371 000;338 663;403 000;374 752;341 000;368 224
615;ENTRETIEN ET RÉPARATIONS COURANTES;14 174 600;13 806 015;14 610 480;14 079 092;13 908 480;13 565 285;14 575 000;14 376 296;14 515 800;15 033 724;14 760 000;15 603 785
6151;Entretien et réparations sur biens immobiliers;10 080 000;10 053 426;10 360 000;10 613 867;9 879 000;9 930 300;10 354 000;10 593 916;10 600 000;11 132 929;10 600 000;11 181 339
6152;Entretien des installations du service des Affaires immobilières et du patrimoine;265 000;250 292;285 000;304 503;250 000;313 635;248 000;126 102;330 000;194 343;190 000;204 120
6153;Maintenance informatique;2 302 600;2 378 792;2 466 480;1 893 475;2 316 480;2 272 451;2 450 000;2 547 185;2 347 800;2 707 414;2 745 000;2 918 650
6154;Entretien du matériel de communication;219 000;216 198;234 000;207 829;222 000;192 692;205 000;201 370;205 000;216 670;210 000;298 729
6155;Maintenance du matériel;966 000;668 677;961 000;790 660;919 000;657 871;993 000;635 860;776 000;615 379;783 000;597 687
6156;Entretien des livres et objets anciens;200 000;130 619;200 000;193 459;215 000;127 586;215 000;201 796;180 000;83 523;165 000;331 218
6157;Entretien des installations de transport;138 000;107 625;103 000;75 299;106 000;67 236;108 000;68 307;75 000;77 953;65 000;69 752
6158;Entretien du laboratoire photo-vidéo;1 000;386;1 000;0;1 000;3 514;2 000;1 760;2 000;5 512;2 000;2 291
6159;Gestion des images et débats de l'AN;3 000;0;0;0;0;0;0;0;0;0;0;0
616;ASSURANCES;380 000;379 215;390 000;391 391;400 000;394 429;413 000;343 584;365 000;337 158;360 000;346 733
6161;Assurances des biens et personnes;290 000;290 777;300 000;295 381;310 000;297 562;317 000;252 909;265 000;248 150;260 000;264 050
6165;Assurances des véhicules;90 000;88 438;90 000;96 009;90 000;96 867;96 000;90 674;100 000;89 007;100 000;82 683
617;ÉTUDES ET DOCUMENTATION;2 423 200;1 933 985;1 966 520;1 558 958;1 466 520;1 030 054;1 350 000;1 172 115;1 208 000;1 054 816;1 299 000;1 080 611
6171;Études et recherches informatiques;1 423 200;1 169 574;1 146 520;793 855;446 520;48 945;260 000;133 956;70 000;67 921;140 000;132 361
6172;Documentation de la Bibliothèque;190 000;175 301;180 000;143 436;155 000;157 184;175 000;204 191;268 000;185 728;258 000;193 872
6173;Documentation européenne;90 000;31 756;70 000;29 592;60 000;34 341;57 000;25 042;55 000;50 618;51 000;16 224
6174;Achats de documents pour diffusion;540 000;495 229;510 000;574 649;35 000;29 842;38 000;1 392;0;0;0;0
6175;Abonnements;70 000;37 923;50 000;17 426;770 000;759 742;820 000;807 533;815 000;750 548;850 000;738 154
6176;Relations presse;100 000;24 203;0;0;0;0;0;0;0;0;0;0
6179;Documentation (Affaires internationales);10 000;0;10 000;0;0;0;0;0;0;0;0;0
618;SUBVENTIONS ET CHARGES ASSIMILEES;1 638 000;1 678 129;1 916 500;1 842 605;1 884 000;1 852 565;2 048 000;1 998 290;1 939 000;1 763 178;1 818 000;1 668 914
6181;Subventions et libéralités;693 000;721 629;706 500;703 170;704 000;761 828;848 000;966 706;730 000;778 989;718 000;782 653
6182;Subventions et indemnités de repas;945 000;956 500;1 210 000;1 139 435;1 180 000;1 090 737;1 200 000;1 031 584;1 209 000;984 188;1 100 000;886 261
62;AUTRES SERVICES EXTERIEURS;12 921 200;9 272 784;12 872 000;10 030 302;10 722 000;9 202 235;10 479 810;9 986 225;10 131 800;10 058 656;9 084 500;6 771 451
621;PERSONNEL EXTERIEURS A L'AN;1 360 000;1 536 758;1 505 000;1 432 171;1 460 000;1 385 144;1 436 000;1 480 229;1 446 000;1 400 187;1 421 000;1 375 879
6211;Personnel intérimaire et mis à disposition;1 310 000;1 480 373;1 470 000;1 426 285;1 460 000;1 385 144;1 436 000;1 480 229;1 446 000;1 400 187;1 421 000;1 375 879
6213;Personnel extérieur mis à disposition du service des Affaires immobilières et du patrimoine;50 000;56 385;35 000;5 886;0;0;0;0;0;0;0;0
622;HONORAIRES;1 633 000;738 139;1 580 000;797 031;1 267 000;503 075;1 063 000;810 484;1 100 000;818 426;720 000;463 669
6221;Honoraires d'experts et d'avocats;380 000;279 987;360 000;270 898;160 000;158 538;160 000;324 983;170 000;322 704;220 000;289 860
6222;Études et expertises des Commissions;712 000;26 017;750 000;203 325;750 000;26 605;580 000;193 229;580 000;215 780;200 000;6 426
6223;Honoraires d'études et ingénierie;440 000;356 684;440 000;287 198;357 000;317 932;323 000;292 273;350 000;279 942;300 000;167 382
6224;Honoraires des rédacteurs de biographies;30 000;20 160;30 000;0;0;0;0;0;0;0;0;0
6225;Honoraires audiovisuels;1 000;0;0;0;0;0;0;0;0;0;0;0
6226;Autres honoraires;70 000;55 291;0;35 610;0;0;0;0;0;0;0;0
623;INFORMATIONS;3 015 000;1 830 337;2 680 000;2 739 564;2 088 000;2 384 812;2 310 810;2 327 983;2 420 000;2 135 523;2 221 000;1 337 120
6231;Annonces et insertions;80 000;38 790;80 000;70 570;80 000;83 470;80 000;79 284;85 000;62 792;85 000;64 859
6233;Communication événementielle;150 000;33 625;150 000;82 058;100 000;117 288;150 000;110 081;150 000;75 163;130 000;46 665
6234;Production des images télévisuelles;1 130 000;875 257;1 180 000;1 559 174;875 000;1 423 762;1 205 810;1 650 341;1 485 000;1 416 959;1 200 000;907 356
6235;Documents d'information et de communication;250 000;155 132;150 000;90 293;100 000;110 571;150 000;46 050;150 000;56 762;200 000;100 386
6236;Diffusion des images télévisées;275 000;236 088;280 000;272 464;275 000;264 074;275 000;267 861;300 000;244 744;250 000;177 066
6237;Études information-multimédia;1 000 000;358 973;430 000;351 607;308 000;322 170;250 000;71 993;100 000;23 537;156 000;29 937
6238;Actions pédagogiques et d'information;130 000;132 470;410 000;313 398;350 000;63 477;200 000;102 374;150 000;255 566;200 000;10 852
624;IMPRESSIONS;710 000;388 177;660 000;263 102;268 000;223 345;300 000;240 505;250 000;222 747;250 000;182 888
6241;Impressions parlementaires;700 000;380 252;650 000;261 431;260 000;218 318;260 000;234 611;240 000;218 152;240 000;147 148
6243;Impressions techniques;10 000;7 925;10 000;1 671;8 000;5 027;40 000;5 894;10 000;4 595;10 000;35 740
625;TRANSPORTS;1 100 500;1 047 409;1 054 000;1 229 504;1 066 000;1 087 155;1 172 000;1 126 731;1 144 800;1 007 559;1 082 500;964 821
6251;Transports de biens;800 000;638 879;600 000;536 019;607 000;507 125;607 000;540 045;540 000;504 063;640 000;569 029
6252;Frais de transport du personnel;300 500;408 529;454 000;693 485;459 000;580 030;565 000;586 686;604 800;503 496;442 500;395 792
626;FRAIS POSTAUX ET FRAIS DE TELECOMMUNICATION;5 060 000;3 718 961;5 365 000;3 564 249;4 545 000;3 614 897;4 185 000;3 996 992;3 760 000;4 471 691;3 380 000;2 439 868
6261;Frais de courrier;4 400 000;3 270 595;4 800 000;3 148 162;4 000 000;3 239 598;3 715 000;3 671 880;3 360 000;4 166 597;3 020 000;2 129 131
6262;Frais de télécommunication;660 000;448 365;565 000;416 087;545 000;375 300;470 000;325 112;400 000;305 094;360 000;310 737
628;RÉGIES D'AVANCES;42 700;9 935;;;;;;;;;;
6281;Frais divers réglés par la régie du service de la Bibliothèque;2 000;2 148;;;;;;;;;;
6282;Frais divers réglés par les régies du Protocole et des services internationaux;11 000;3 295;;;;;;;;;;
6283;Frais divers réglés par la régie du service des Affaires immobilières et du Patrimoine;6 100;2 447;;;;;;;;;;
6284;Frais divers réglés par la régie du service de la Communication;5 000;631;;;;;;;;;;
6285;Frais divers réglés par la régie du Service de la Séance;2 000;137;;;;;;;;;;
6286;Frais divers réglés par la régie du service des systèmes d'information;2 000;259;;;;;;;;;;
6287;Frais divers réglés par la régie du service des Ressources humaines;3 100;20;;;;;;;;;;
6288;Frais divers réglés par la régie du service de la Logistique Parlementaire;3 000;0;;;;;;;;;;
6289;Frais divers des régies des autres services;8 500;999;;;;;;;;;;
629;RÉGIES D'AVANCES;;3 069;28 000;4 682;28 000;3 806;13 000;3 300;11 000;2 524;10 000;7 206
6291;Régie du directeur général des services administratifs;;963;20 000;1 714;20 000;273;5 000;336;3 000;354;2 000;1 921
6292;Régie du directeur général des services législatifs;;2 107;8 000;2 968;8 000;3 533;8 000;2 964;8 000;2 170;8 000;5 284
63;IMPOTS ET TAXES;3 671 000;3 850 525;3 791 000;4 202 917;3 779 100;4 010 664;3 766 500;4 188 873;3 712 854;4 130 686;4 380 000;4 351 537
633;VERSEMENTS SYND.TRANSPORT DE PARIS;2 900 000;3 107 135;3 000 000;3 453 924;3 000 000;3 304 495;2 950 000;3 381 982;2 900 854;3 359 248;3 550 000;3 556 239
6330;Versement au syndicat des transports de Paris;2 900 000;3 107 135;3 000 000;3 453 924;3 000 000;3 304 495;2 950 000;3 381 982;2 900 854;3 359 248;3 550 000;3 556 239
635;IMPÔTS LOCAUX;650 000;674 719;670 000;715 050;710 000;703 926;710 000;778 172;710 000;770 269;780 000;793 290
6350;Impôts locaux;650 000;674 719;670 000;715 050;710 000;703 926;710 000;778 172;710 000;770 269;780 000;793 290
637;TAXES ET DROITS SUR VEHICULES;1 000;23;1 000;103;100;2 243;6 500;15;2 000;1 169;0;2 009
6370;Taxes et droits divers sur véhicules;1 000;23;1 000;103;100;2 243;6 500;15;2 000;1 169;0;2 009
638;FONDS D'INSERTION DES TRAVAILLEURS HANDICAPES;120 000;68 649;120 000;33 840;69 000;0;100 000;28 704;100 000;0;50 000;0
6380;Fonds d'insertion des travailleurs handicapés;120 000;68 649;120 000;33 840;69 000;0;100 000;28 704;100 000;0;50 000;0
64;CHARGES DE PERSONNEL;163 218 800;170 081 298;174 217 000;183 510 002;175 039 188;175 225 917;176 409 400;175 720 302;175 074 000;172 136 889;178 936 650;175 604 890
641;PERSONNELS STATUTAIRES DE L'AN;110 416 000;115 178 299;119 020 000;125 828 837;116 196 000;116 573 321;115 853 300;115 835 262;113 531 300;110 990 309;115 875 500;113 227 671
6411;Traitements et rémunérations de base des personnels statutaires;53 000 000;53 099 646;53 850 000;51 876 356;52 650 000;51 413 719;52 000 000;50 994 582;51 530 000;50 767 989;51 556 000;50 382 868
6412;Indemnités de fonction et de sujétion;300 000;307 301;280 000;284 460;24 000 000;23 561 921;23 790 000;23 384 491;23 620 000;23 305 912;49 823 500;48 893 470
6413;Indemnités de travaux supplémentaires et de législature;40 400 000;43 924 947;47 400 000;56 552 303;22 325 000;25 424 261;23 794 300;26 459 103;23 475 300;23 298 187;0;8 792
6414;Autres indemnités;13 700 000;14 891 564;14 510 000;14 440 853;14 361 000;13 702 328;13 571 000;12 641 425;12 526 000;11 511 342;12 781 000;12 288 275
6415;Prestations familiales;2 164 000;1 934 394;2 100 000;1 746 663;2 000 000;1 669 902;1 730 000;1 474 623;1 580 000;1 193 371;800 000;694 419
6416;Supplément familial de traitement;490 000;471 595;460 000;438 719;470 000;469 629;530 000;468 758;500 000;456 982;415 000;410 852
6418;Indemnités de fin de carrière;362 000;548 851;420 000;489 481;390 000;331 560;438 000;412 280;300 000;456 525;500 000;548 994
642;PERSONNEL CONTRACTUEL DE L'AN;5 200 000;5 588 707;5 406 600;6 280 988;5 941 000;6 111 084;6 000 500;6 667 962;6 731 300;7 639 468;7 631 750;7 812 592
6421;Rémunérations de base;3 640 000;3 859 607;3 780 000;4 285 514;4 240 000;4 357 105;4 287 000;4 974 779;5 100 000;6 048 201;5 872 000;6 129 266
6422;Indemnités de fonction et de sujétion;1 036 000;1 226 930;1 284 600;1 584 123;1 296 000;1 326 613;1 292 000;1 242 055;1 198 000;1 116 156;1 157 000;963 310
6423;Autres indemnités;339 000;349 670;312 000;366 495;363 000;357 807;358 000;375 116;380 500;397 988;480 500;497 426
6424;Prestations familiales;30 000;41 494;30 000;44 857;42 000;69 560;63 500;76 012;52 800;77 124;56 600;58 481
6425;Indemnités de préavis et de licenciement;155 000;111 006;0;0;0;0;0;0;0;0;65 650;164 110
643;PERSONNEL CONTRACTUEL PRESIDENCE;2 361 000;2 719 338;1 982 000;2 709 780;2 585 100;2 868 628;2 815 100;2 944 271;2 815 100;2 607 559;3 313 000;2 747 138
6431;Salaires et indemnités de base;1 840 000;2 068 133;1 840 000;2 603 425;2 482 000;2 730 037;2 713 000;2 809 444;2 713 000;2 502 509;2 713 000;2 135 560
6432;Autres indemnités;189 000;321 271;130 000;84 597;79 000;115 145;82 000;113 227;82 000;94 637;230 000;270 936
6433;Prestations familiales;12 000;16 406;12 000;21 759;24 100;13 969;20 100;21 601;20 100;10 413;10 000;10 209
6434;Indemnités de préavis, de fin de contrat et de licenciement;320 000;313 528;0;0;0;9 477;0;0;0;0;360 000;330 434
644;AUTRES PERSONNELS;240 000;441 144;300 000;578 886;590 000;528 293;600 000;387 991;527 900;155 318;515 000;190 793
6442;Indemnisation des demandeurs d'emploi;240 000;441 144;300 000;578 886;590 000;528 293;600 000;387 991;527 900;155 318;515 000;190 793
645;CHARGES DE SECURITÉ SOCIALE ET DE PRÉVOYANCE DU PERSONNEL;42 037 800;43 476 419;44 478 000;45 422 334;47 044 200;46 867 909;48 536 000;47 572 435;48 668 700;48 373 839;49 063 500;49 014 552
6451;Contribution au fonds de sécurité sociale des personnels;3 855 000;3 992 234;4 000 000;3 900 056;3 940 000;3 867 231;3 860 000;3 835 814;3 835 000;3 819 981;3 968 000;3 792 315
6452;Contribution à la caisse des retraites de l'AN;36 444 800;37 381 101;38 544 000;39 201 991;40 830 200;40 591 988;42 319 000;41 131 563;42 291 700;41 757 902;42 122 500;42 276 764
6453;Cotisations à l'URSSAF;1 261 000;1 550 442;1 414 000;1 773 964;1 725 000;1 831 530;1 806 000;1 999 518;1 942 000;2 137 259;2 290 000;2 213 941
6454;Cotisations aux caisses de retraites complémentaires;351 000;429 185;395 000;425 707;426 000;457 560;430 000;486 909;480 000;540 560;562 000;614 252
6455;Contribution de solidarité autonomie;126 000;123 457;125 000;120 616;123 000;119 600;121 000;118 630;120 000;118 137;121 000;117 281
646;PRESTATIONS DIRECTES;1 707 000;1 846 048;1 661 100;1 793 143;1 477 588;1 333 470;1 395 200;1 179 809;1 227 400;1 024 868;1 113 100;1 418 097
6461;Accidents du travail;21 000;4 192;19 000;17 602;15 000;6 683;18 000;14 108;15 000;20 791;14 500;28 787
6462;Capital décès 1 - Fonctionnaires;80 000;119 591;80 000;351 727;80 000;66 642;80 000;57 323;80 000;0;80 000;443 417
6463;Allocation décès 1 - Fonctionnaires;15 000;22 241;15 000;35 696;20 000;14 831;20 000;0;20 000;7 338;20 000;35 514
6464;Allocations viagières des anciens employés temporaires;37 400;279 174;37 400;55 992;31 250;56 172;56 500;45 142;49 500;43 249;46 000;29 696
6465;Médico-social et prévention;2 000;0;2 000;0;2 000;0;1 000;0;600;0;600;0
6466;Arrérages de pension des retraités de l'Union française;1 544 600;1 417 819;1 503 700;1 332 126;1 325 338;1 189 142;1 216 700;1 063 237;1 062 300;953 491;952 000;880 683
6467;Allocation de vacances du personnel contractuel;7 000;3 031;4 000;0;4 000;0;3 000;0;0;0;0;0
647;AUTRES CHARGES SOCIALES DE PERSONNEL;191 000;122 885;201 300;165 523;191 300;168 365;189 300;173 550;220 300;262 576;229 800;238 319
6474;Subventions repas;0;0;0;426;0;840;3 000;2 503;3 000;694;3 000;0
6475;Indemnités repas des Gardes républicains;120 000;117 968;125 000;112 323;125 000;121 764;120 000;156 988;153 000;184 391;162 000;189 829
6476;Subvention à la mutuelle du personnel;50 000;0;50 000;41 535;45 000;39 037;45 000;4 200;43 000;69 674;43 500;39 038
6477;Médecine du travail;21 000;4 918;26 300;11 240;21 300;6 724;21 300;9 859;21 300;7 817;21 300;9 452
648;AUTRES CHARGES  DE PERSONNEL;1 066 000;708 458;1 168 000;730 511;1 014 000;774 847;1 020 000;959 024;1 352 000;1 082 951;1 195 000;955 730
6481;Frais de recrutement du personnel;346 000;103 778;438 000;262 341;314 000;182 304;340 000;465 463;632 000;494 195;495 000;371 920
6482;Formation professionnelle du personnel;660 000;563 126;680 000;459 849;650 000;523 658;630 000;451 417;630 000;541 269;610 000;528 878
6484;Formations pour la mise en œuvre de projets informatiques;60 000;41 554;50 000;8 321;50 000;68 886;50 000;42 143;90 000;47 488;90 000;54 931
65;CHARGES PARLEMENTAIRES;313 890 836;305 725 967;297 540 666;289 455 299;295 306 285;288 744 578;294 211 577;288 437 913;295 509 371;289 729 602;324 553 648;326 451 784
651;INDEMNITÉS PARLEMENTAIRES;48 956 031;49 265 419;50 172 719;50 111 426;50 282 719;49 996 414;50 291 195;50 081 336;50 196 195;49 897 860;50 734 672;50 447 108
6511;Indemnité parlementaire;47 923 231;48 256 725;49 161 419;49 063 025;49 161 419;48 962 717;49 161 419;49 080 497;49 161 419;49 020 962;49 753 159;49 513 799
6512;Indemnités spéciales;591 300;569 617;591 300;564 717;591 300;549 005;559 776;548 197;559 776;540 019;566 513;550 260
6514;Prestations familiales;271 500;221 793;250 000;245 923;290 000;261 097;325 000;236 590;230 000;153 752;170 000;182 719
6515;Supplément familial;170 000;217 284;170 000;237 761;240 000;223 595;245 000;216 052;245 000;183 127;245 000;200 330
652;CHARGES SOCIALES;65 882 697;62 410 448;66 187 060;63 634 145;63 442 206;61 870 125;60 686 451;60 378 534;60 314 751;58 553 160;61 609 410;64 523 529
6521;Charges de sécurité sociale et de prévoyance;64 154 697;60 576 851;64 508 125;62 145 004;61 885 266;60 479 009;59 124 651;59 068 500;58 965 751;57 096 975;60 302 160;63 194 435
6522;Prestations directes;1 728 000;1 646 218;1 488 000;1 298 630;1 365 940;1 200 995;1 370 800;1 119 420;1 158 000;1 265 820;1 114 000;1 136 804
